claim_id,quantity,value,uncertainty,n,unit,source_path,source_locator,status
cover-random-policy-audits.3683,per_slice/row409::hidden_pct,83.67184600437747,,,percent,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[409].hidden_pct,SOLID
cover-random-policy-audits.3684,per_slice/row409::visible_pct,16.32815399562253,,,percent,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[409].visible_pct,SOLID
cover-random-policy-audits.3685,per_slice/row409::n_cover,2,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[409].n_cover,SOLID
cover-random-policy-audits.3686,per_slice/row409::n_random,2,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[409].n_random,SOLID
cover-random-policy-audits.3687,per_slice/row409::n_transition,0,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[409].n_transition,SOLID
cover-random-policy-audits.3688,per_slice/row409::n_unguided,0,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[409].n_unguided,SOLID
cover-random-policy-audits.3689,per_slice/row409::anat_cells,47,,,count,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[409].anat_cells,SOLID
cover-random-policy-audits.3690,per_slice/row409::union,123,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[409].union,SOLID
cover-random-policy-audits.3691,per_slice/row410::idx,83980,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[410].idx,SOLID
cover-random-policy-audits.3692,per_slice/row410::hidden_pct,83.67184600437747,,,percent,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[410].hidden_pct,SOLID
cover-random-policy-audits.3693,per_slice/row410::visible_pct,16.32815399562253,,,percent,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[410].visible_pct,SOLID
cover-random-policy-audits.3694,per_slice/row410::n_cover,2,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[410].n_cover,SOLID
cover-random-policy-audits.3695,per_slice/row410::n_random,0,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[410].n_random,SOLID
cover-random-policy-audits.3696,per_slice/row410::n_transition,2,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[410].n_transition,SOLID
cover-random-policy-audits.3697,per_slice/row410::n_unguided,0,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[410].n_unguided,SOLID
cover-random-policy-audits.3698,per_slice/row410::anat_cells,47,,,count,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[410].anat_cells,SOLID
cover-random-policy-audits.3699,per_slice/row410::union,86,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[410].union,SOLID
cover-random-policy-audits.3700,per_slice/row411::idx,83985,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[411].idx,SOLID
cover-random-policy-audits.3701,per_slice/row411::hidden_pct,84.70379880844293,,,percent,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[411].hidden_pct,SOLID
cover-random-policy-audits.3702,per_slice/row411::visible_pct,15.296201191557069,,,percent,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[411].visible_pct,SOLID
cover-random-policy-audits.3703,per_slice/row411::n_cover,2,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[411].n_cover,SOLID
cover-random-policy-audits.3704,per_slice/row411::n_random,2,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[411].n_random,SOLID
